codigo,codigo_pai,nome,situacao,nivel,tem_filhos,caminho
12185,3,Decisão Interlocutória de Mérito,A,3,False,Magistrado > Decisão > Decisão Interlocutória de Mérito
12186,48,Cancelamento de Distribuição,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cancelamento de Distribuição
12187,385,Homologação de Decisão de Juiz Leigo,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Homologação de Decisão de Juiz Leigo
12188,1008,Recambiamento de Preso,A,4,False,Magistrado > Decisão > Autorização > Recambiamento de Preso
12189,48,Entrega de Documento,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Entrega de Documento
12198,48,Deliberado em Sessão,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão
12199,12198,Julgado,A,4,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Julgado
12200,12199,Mérito,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Julgado > Mérito
12201,12199,Liminar,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Julgado > Liminar
12202,12199,Questão de Ordem,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Julgado > Questão de Ordem
12203,12198,Adiado,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Adiado
12204,12198,Pedido de Vista,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Pedido de Vista
12205,12198,Retirado,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Retirado
12206,3,Ratificação,A,3,True,Magistrado > Decisão > Ratificação
12207,12206,Liminar,A,4,False,Magistrado > Decisão > Ratificação > Liminar
12208,3,Não-Ratificação,A,3,True,Magistrado > Decisão > Não-Ratificação
12209,12208,Liminar,A,4,False,Magistrado > Decisão > Não-Ratificação > Liminar
12210,3,Ratificação em Parte,A,3,True,Magistrado > Decisão > Ratificação em Parte
12211,12210,Liminar,A,4,False,Magistrado > Decisão > Ratificação em Parte > Liminar
12212,12199,Prorrogação de PAD,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Julgado > Prorrogação de PAD
12213,12206,Decisão Monocrática,A,4,False,Magistrado > Decisão > Ratificação > Decisão Monocrática
12214,48,Processo Encaminhado,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Processo Encaminhado
12215,48,Processo devolvido à Secretaria,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Processo devolvido à Secretaria
12252,385,Sentença confirmada,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Sentença confirmada
12253,385,Sentença confirmada em parte,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Sentença confirmada em parte
12254,385,Sentença desconstituída,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Sentença desconstituída
12255,1013,Redistribuição por prevenção,A,4,False,Magistrado > Decisão > Determinação > Redistribuição por prevenção
12256,456,Continência,A,5,False,Magistrado > Julgamento > Sem Resolução de Mérito > Extinção > Continência
12257,385,Definição de tese jurídica em incidentes repetitivos,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Definição de tese jurídica em incidentes repetitivos
12258,385,Emissão de juízo de retratação pelo Órgão Julgador,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Emissão de juízo de retratação pelo Órgão Julgador
12259,25,"Prescrição intercorrente (art. 921, § 4º, CPC)",A,4,False,"Magistrado > Decisão > Suspensão ou Sobrestamento > Prescrição intercorrente (art. 921, § 4º, CPC)"
12260,48,Autos restaurados,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Autos restaurados
12261,160,Emenda a inicial,A,4,False,Magistrado > Decisão > Recebimento > Emenda a inicial
12262,160,Emenda a inicial,I,4,False,Magistrado > Decisão > Recebimento > Emenda a inicial
12263,48,Intimação,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Intimação
